TSP,TSP Name,TSP FERC CID,Loc,Loc Name,Loc Loctr ID,Loc Loctr,Loc Cnty,Loc St Abbrev,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc Name,Up/Dn Loc,Update D/T
784158214,Northern Natural Gas Company,C000060,2816,NEW HAMPTON IA #1,SRV,12 - 95 N - 13 W,CHICKASAW,IA,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3324,NEW HARTFORD IA #1,SRV,34 - 90 N - 15 W,BUTLER,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,4041,NEW LISBON WI #1,SRV,17 - 16 N - 3 E,JUNEAU,WI,MID 17,LDC,D,A,19871001,,Y,WISCONSIN POWER AND LIGHT COMPANY,7946452,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3877,NEW MARKET MN #1,SRV,20 - 113 N - 21 W,SCOTT,MN,MID 17,LDC,D,A,19871001,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,79543,NEW MARKET MN #2,SRV,20 - 113 N - 21 W,SCOTT,MN,MID 17,LDC,D,A,20210309,,Y,"GREATER MINNESOTA GAS, INC.",837271790,N,,,,20220125 05:00
784158214,Northern Natural Gas Company,C000060,79586,NEW MARKET MN #2-S,SRV,20 - 113 N - 21 W,SCOTT,MN,MID 17,LDC,D,A,20211210,,Y,"GREATER MINNESOTA GAS, INC.",837271790,N,,,,20220209 05:00
784158214,Northern Natural Gas Company,C000060,1456,NEW PRAGUE MN #1,SRV,4 - 112 N - 23 W,LE SUEUR,MN,MID 17,LDC,D,A,19871001,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,79308,NEW PRAGUE MN #1-S,SRV,4 - 112 N - 23 W,LE SUEUR,MN,MID 17,LDC,D,A,20160920,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,3618,NEW PROVIDENCE IA #1,SRV,3 - 86 N - 20 W,HARDIN,IA,MID 17,LDC,D,A,19871001,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3878,NEW RICHLAND MN #1,SRV,21 - 105 N - 22 W,WASECA,MN,MID 17,LDC,D,A,19871001,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,4134,NEW RICHMOND WI #1,SRV,35 - 32 N - 18 W,ST CROIX,WI,MID 17,LDC,D,A,19871001,,Y,"NORTHERN STATES POWER COMPANY, A WISCONSIN CORPORATION",7945868,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,2864,NEW ULM MN #1,SRV,34 - 110 N - 30 W,BROWN,MN,MID 17,LDC,D,A,19871001,,Y,NEW ULM PUBLIC UTILITIES COMMISSION,556507374,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3323,NEWELL IA #1,SRV,19 - 90 N - 35 W,BUENA VISTA,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,55742,NEWHALL IA,SRV,29 - 85 N - 10 W,BENTON,IA,MID 17,LDC,D,A,19910916,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3325,NEWKIRK IA #1,SRV,12 - 95 N - 44 W,SIOUX,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,2809,NEWTON IA #1,SRV,28 - 80 N - 19 W,JASPER,IA,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,2810,NEWTON IA #1A,SRV,22 - 80 N - 19 W,JASPER,IA,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,79659,NGL WATER SOLUTIONS - ANDREWS CO. DEL,SRV,2 - 73 - PUBLIC SCHOOL LAND,ANDREWS,TX,MID 6,END,D,A,20240419,,Y,NGL WATER SOLUTIONS PERMIAN LLC,273427920,N,,,,20240920 05:00
784158214,Northern Natural Gas Company,C000060,197,NGPL/NNG GLENWOOD,SRV,26 - 72 N - 43 W,MILLS,IA,MID 17,INT,B,A,19871001,,Y,NATURAL GAS PIPELINE COMPANY OF AMERICA,6931794,Y,C002096,NNG/NGPL  MILLS,900203,20160310 10:53
784158214,Northern Natural Gas Company,C000060,1454,NICKERSON NE #1,SRV,12 - 18 N - 8 E,DODGE,NE,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,60077,NICOLLET MN #1,SRV,18 - 108 N - 28 W,BLUE EARTH,MN,MID 17,LDC,D,A,19930727,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78460,NICOLLET MN #2,SRV,18 - 108 N - 28 W,BLUE EARTH,MN,MID 17,LDC,D,A,20040909,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,234,NICOR-EAST DUBUQUE,SRV,5 - 28 N - 1 W,JO DAVIESS,IL,MID 17,INT,D,A,19890817,,Y,NICOR GAS COMPANY,6927792,Y,C000600,GALENA,100,20170307 05:00
784158214,Northern Natural Gas Company,C000060,37654,NNG FIELD/MKT DEMARCATION -16B          ,SRV,7 - 6 S - 2 W,CLAY,KS,MID 16 B,PPT,B,A,19900509,,N,,,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,17378,NNG/KN BURDETT PDC,SRV,4 - 21 S - 21 W,HODGEMAN,KS,MID 16 A,GTH,R,I,,20250601,Y,"GOLDEN BELT TRANSPORTATION, LLC",8031580,N,,,,20250603 05:00
784158214,Northern Natural Gas Company,C000060,417,NNG/WGR PECOS COUNTY #6 PDC,SRV,5 - 12 - H&GN,PECOS,TX,MID 3,GTH,R,A,19890802,,Y,WESTERN GAS RESOURCES INC,606413052,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,62879,NNG/WTG OCHILTREE CO FARMTAP,SRV,216 - 43 - H&TC,OCHILTREE,TX,MID 10,LDC,D,A,19960617,,Y,"WEST TEXAS GAS, INC.",60150745,N,,,,20151216 04:01
