TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301284,EPNG/EPNG (HRLYPCSR) PECOS RIVER HO,R,EDDY,NM,OTH,NM-P,NM-P,1340,Y,A,20160601,,N,,,,,,,,,,20170929 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301285,EPNG/EPNG (HRLYWAHA) WAHA REEVES,R,REEVES,TX,OTH,TX-P,TX-P,1388,Y,A,20160601,,N,,,,,,,,,,20170929 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301286,EPNG/EPNG (HRLYWEND) WENDEN HOURLY,R,MARICOPA,AZ,OTH,AZ-N,AZ-N,2160,Y,A,20160601,,N,,,,,,,,,,20170929 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301287,EPNG/EPNG (HRLYWINR) WINDOW ROCK HO,R,APACHE,AZ,OTH,AZ-S,AZ-S,240,Y,A,20160601,,N,,,,,,,,,,20170929 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301321,OXY USA/EPNG (IARCOPUC) PUCKETT PLA,R,CRANE,TX,PLT,TX-P,TX-P,1400,Y,A,20160601,,Y,OXY USA INC.,115102402,12340,N,,,,,,20220804 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301360,CIG/EPNG (IBIGBLUE) BIG BLUE MOORE,B,MOORE,TX,INT,TX-A,TX-A,795,Y,A,20160601,,Y,COLORADO INTERSTATE GAS COMPANY  L.L.C.,6914865,15038,Y,C000981,800089,EPNG/CIG (BIG) BIG BLUE,,,20180921 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301375,SPS/EPNG (ICABHOBS) CABOT HOBBS LEA,D,LEA,NM,LDC,NM-P,NM-P,995,Y,A,20160601,,Y,SOUTHWESTERN PUBLIC SERVICE COMPANY,7369713,19150,N,,,,,,20181026 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301377,MPC/EPNG (ICADIZ) CADIZ INTERCONNEC,B,SAN BERNARDINO,CA,INT,CA-M,CA-M,3040,Y,A,20160601,,Y,MOJAVE PIPELINE COMPANY  L.L.C.,620365619,19735,Y,C001014,301377,MPC/EPNG (ICADIZ) CADIZ INTERCONNEC,,,20181025 15:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301380,CAPITAN/EPNG (ICAPITAN) CAPITAN REC,R,CULBERSON,TX,GTH,TX-P,TX-P,1480,N,A,20160601,,Y,CAPITAN ENERGY  INCORPORATED,118806624,7905,N,,,,,,20190212 09:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301525,WTG/EPNG (IG41-986) IG41-986 MOORE,D,MOORE,TX,LDC,N/A,N/A,N/A,N,I,,20160601,Y,WEST TEXAS GAS INC.,60150745,5357,Y,C000652,126014,DGGSIDIN,,,20170929 09:00
