LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
RFI PARBOIL WALDENBERG ,ENABLE GAS TRANSMISSION  ,013173,NORTH,MQ,AR,POINSETT                      ,000000001,
STEPHEN PAP CO ACC     ,ENABLE GAS TRANSMISSION  ,013175,SOUTH,MQ,AR,OUACHITA                      ,000001400,
UNIV OF C. AR ACCT     ,ENABLE GAS TRANSMISSION  ,013176,NORTH,MQ,AR,FAULKNER                      ,000003100,
BRYCE CORPOR ACCT      ,ENABLE GAS TRANSMISSION  ,013178,NORTH,MQ,AR,WHITE                         ,000003000,
JW ALUMINUM ACCT       ,ENABLE GAS TRANSMISSION  ,013179,NORTH,MQ,AR,POPE                          ,000002570,
AOG @ WITCHERVILLE REC ,ARKANSAS OKLAHOMA GAS COR,013196,NORTH,M2,AR,SEBASTIAN                     ,000025000,
DELL POWER PLANT       ,ASSOCIATED ELECTRIC COOPE,013197,NORTH,MQ,AR,MISSISSIPPI                   ,000102000,
HELENA PORT AUTHORITY  ,HELENA PORT AUTHORITY    ,013198,NORTH,MQ,AR,PHILLIPS                      ,000015000,
NESTLE USA ACCT        ,ENABLE GAS TRANSMISSION  ,013200,NORTH,MQ,AR,CRAIGHEAD                     ,000003560,
AOG@ROLAND/MOFFETT     ,ARKANSAS OKLAHOMA GAS COR,013211,NORTH,M2,AR,SEBASTIAN                     ,000015000,
PINE BLUFF INCIN ACCT  ,ENABLE GAS TRANSMISSION  ,013216,NORTH,MQ,AR,JEFFERSON                     ,000000001,
OUACHTA CTY MED AC     ,ENABLE GAS TRANSMISSION  ,013231,SOUTH,MQ,AR,OUACHITA                      ,000000290,
ARK HUMAN DEV ACCT     ,ENABLE GAS TRANSMISSION  ,013232,SOUTH,MQ,AR,CLARK                         ,000000210,
WHTE RIVER MED-ACC     ,ENABLE GAS TRANSMISSION  ,013234,NORTH,MQ,AR,INDEPENDENCE                  ,000000420,
AR DOC BEN UNT ACC     ,ENABLE GAS TRANSMISSION  ,013235,NORTH,MQ,AR,SALINE                        ,000000140,
AR DOC NEWP #2 ACC     ,ENABLE GAS TRANSMISSION  ,013236,NORTH,MQ,AR,JACKSON                       ,000000180,
AR DOC NP #1 ACCT      ,ENABLE GAS TRANSMISSION  ,013237,NORTH,MQ,AR,JACKSON                       ,000000290,
SANYO MFG CORP-ACCT    ,ENABLE GAS TRANSMISSION  ,013252,NORTH,MQ,AR,ST. FRANCIS                   ,000000001,
ARK TECH UNIV-BRYAN ACC,ENABLE GAS TRANSMISSION  ,013253,NORTH,MQ,AR,POPE                          ,000000001,
ARK TECH-WITHRSPOON ACC,ENABLE GAS TRANSMISSION  ,013254,NORTH,MQ,AR,POPE                          ,000000001,
ARK TEC TURREN ACC     ,ENABLE GAS TRANSMISSION  ,013255,NORTH,MQ,AR,POPE                          ,000001400,
DASSAULT FALC 2 AC     ,ENABLE GAS TRANSMISSION  ,013285,NORTH,MQ,AR,SALINE                        ,000001690,
AR SCH FOR MTH ACC     ,ENABLE GAS TRANSMISSION  ,013308,NORTH,MQ,AR,GARLAND                       ,000000220,
LIMESTONE SPEC INC ACCT,ENABLE GAS TRANSMISSION  ,013314,NORTH,MQ,AR,JACKSON                       ,000000001,
WASKOM TAILGATE DISP   ,ENABLE GAS TRANSMISSION  ,013339,SOUTH,MQ,TX,HARRISON                      ,000200000,
VALLEY PROTEINS ACCT   ,ENABLE GAS TRANSMISSION  ,013349,SOUTH,MQ,LA,CADDO                         ,000000640,
VALLEYVIEW HOS ACC     ,ENABLE GAS TRANSMISSION  ,013406,WEST2,MQ,OK,PONTOTOC                      ,000000560,
MOUNTAIN CTRY ACCT     ,ENABLE GAS TRANSMISSION  ,013407,WEST1,MQ,OK,BLAINE                        ,000000540,
MEDCATH OF LRAR AC     ,ENABLE GAS TRANSMISSION  ,013408,NORTH,MQ,AR,SALINE                        ,000000280,
UAMSC-JT STEPH ACC     ,ENABLE GAS TRANSMISSION  ,013409,NORTH,MQ,AR,SALINE                        ,000000500,
CULLEN HEIRS CTP       ,ENABLE MIDSTREAM PARTNERS,013419,SOUTH,M2,TX,HARRISON                      ,000008000,
LIVELY CP              ,SUPERIOR PIPELINE CO     ,013420,NEUT ,M2,OK,LATIMER                       ,000140000,
OZARK MT#1 BAT ACC     ,ENABLE GAS TRANSMISSION  ,013423,NORTH,MQ,AR,INDEPENDENCE                  ,000000400,
AMER RAIL ACCT #1      ,ENABLE GAS TRANSMISSION  ,013440,NORTH,MQ,AR,CRAIGHEAD                     ,000000670,
BAILSCO INC ACCT       ,ENABLE GAS TRANSMISSION  ,013444,SOUTH,MQ,LA,CADDO                         ,000000054,
WHTE CTY MD CTR AC     ,ENABLE GAS TRANSMISSION  ,013445,NORTH,MQ,AR,WHITE                         ,000000680,
MADDEN CONTRACTING ACCT,ENABLE GAS TRANSMISSION  ,013447,SOUTH,MQ,LA,WEBSTER                       ,000000500,
CERC-MIDSTATES WOOD ACC,ENABLE GAS TRANSMISSION  ,013448,SOUTH,MQ,LA,LINCOLN                       ,000000270,
SOUTHERN FOODS ACCT    ,ENABLE GAS TRANSMISSION  ,013449,SOUTH,MQ,LA,CADDO                         ,000000280,
AMER RAIL ACCT #2      ,ENABLE GAS TRANSMISSION  ,013473,NORTH,MQ,AR,CRAIGHEAD                     ,000000550,
NOVUS ARKANSAS ACC     ,ENABLE GAS TRANSMISSION  ,013521,NORTH,MQ,AR,SALINE                        ,000001690,
CRANFORD BAUXITE ACCT  ,ENABLE GAS TRANSMISSION  ,013522,NORTH,MQ,AR,SALINE                        ,000000200,
CINTAS CORPORATION ACCT,ENABLE GAS TRANSMISSION  ,013523,SOUTH,MQ,LA,BOSSIER                       ,000000110,
TARCO INC ACCT         ,ENABLE GAS TRANSMISSION  ,013525,NORTH,MQ,AR,PULASKI                       ,000000180,
LA TECH PWR PLT LP ACCT,ENABLE GAS TRANSMISSION  ,013527,SOUTH,MQ,LA,LINCOLN                       ,000000001,
TGT CP DEL             ,ENABLE GAS TRANSMISSION  ,013545,CP   ,MQ,LA,OUACHITA                      ,000445000,
TGC CP DEL             ,ENABLE GAS TRANSMISSION  ,013546,CP   ,MQ,LA,RICHLAND                      ,000445000,
ANR CP DEL             ,ENABLE GAS TRANSMISSION  ,013547,CP   ,MQ,LA,RICHLAND                      ,000445000,
CGT CP DEL             ,ENABLE GAS TRANSMISSION  ,013548,CP   ,MQ,LA,RICHLAND                      ,000445000,
CERC-NEWLY WEDS FD ACCT,ENABLE GAS TRANSMISSION  ,013552,SOUTH,MQ,TX,TITUS                         ,000000770,
CINTAS ACCT@MAUMELLE AR,ENABLE GAS TRANSMISSION  ,013592,NORTH,MQ,AR,PULASKI                       ,000000510,
AMERIPR ACC @LR TB     ,ENABLE GAS TRANSMISSION  ,013593,NORTH,MQ,AR,PULASKI                       ,000000350,
SAL CTY MED CTR AC     ,ENABLE GAS TRANSMISSION  ,013594,NORTH,MQ,AR,PULASKI                       ,000000400,
SWESTRN MED CTR AC     ,ENABLE GAS TRANSMISSION  ,013606,WEST2,MQ,OK,COMANCHE                      ,000000270,
STELLA-JONES 2 ACCT    ,ENABLE GAS TRANSMISSION  ,013633,SOUTH,MQ,AR,CLEVELAND                     ,000001570,
AMERICAN RAILCAR ACCT#3,ENABLE GAS TRANSMISSION  ,013637,NORTH,MQ,AR,CRAIGHEAD                     ,000000036,
WROCK CONW#1 ACCT      ,ENABLE GAS TRANSMISSION  ,013770,NORTH,MQ,AR,FAULKNER                      ,000000620,
KIMCLK MAU #1 ACCT     ,ENABLE GAS TRANSMISSION  ,013771,NORTH,MQ,AR,PULASKI                       ,000000560,
TGT CP REC             ,ENABLE GAS TRANSMISSION  ,013776,CP   ,M2,LA,OUACHITA                      ,000445000,
CRANFORD CONST PB ACCT ,ENABLE GAS TRANSMISSION  ,013777,NORTH,MQ,AR,JEFFERSON                     ,000000001,
ARK ALUM ALLOYS ACCT   ,ENABLE GAS TRANSMISSION  ,013778,NORTH,MQ,AR,GARLAND                       ,000000001,
ARKANSAS LIME ACCT     ,ENABLE GAS TRANSMISSION  ,013779,NORTH,MQ,AR,INDEPENDENCE                  ,000008810,
CONAGRA FD BAT ACC     ,ENABLE GAS TRANSMISSION  ,013780,NORTH,MQ,AR,INDEPENDENCE                  ,000001270,
CONAGRA FOOD RUSVL ACCT,ENABLE GAS TRANSMISSION  ,013781,NORTH,MQ,AR,POPE                          ,000000001,
COOP TIRE RUB ACCT     ,ENABLE GAS TRANSMISSION  ,013782,SOUTH,MQ,AR,MILLER                        ,000004090,
ARKANS STEEL ACCT      ,ENABLE GAS TRANSMISSION  ,013783,NORTH,MQ,AR,JACKSON                       ,000005430,
GEO SPECIALTY CHEM ACCT,ENABLE GAS TRANSMISSION  ,013784,NORTH,MQ,AR,PULASKI                       ,000001370,
RICELND JONESB ACC     ,ENABLE GAS TRANSMISSION  ,013785,NORTH,MQ,AR,CRAIGHEAD                     ,000009490,
RICELND STU SOY AC     ,ENABLE GAS TRANSMISSION  ,013786,NORTH,MQ,AR,ARKANSAS                      ,000005890,
RICELND STUTPAR AC     ,ENABLE GAS TRANSMISSION  ,013787,NORTH,MQ,AR,ARKANSAS                      ,000004060,
PREM PROTEIN ACCT      ,ENABLE GAS TRANSMISSION  ,013788,NORTH,MQ,AR,POPE                          ,000002960,
GA PACW.MEMPHIS ACCT   ,ENABLE GAS TRANSMISSION  ,013789,NORTH,MQ,AR,CRITTENDEN                    ,000002500,
ENTERGY @MABELVALE ACCT,ENABLE GAS TRANSMISSION  ,013790,NORTH,MQ,AR,PULASKI                       ,000005016,
ANR CP REC             ,ENABLE GAS TRANSMISSION  ,013791,CP   ,M2,LA,RICHLAND                      ,000445000,
TGC CP REC             ,ENABLE GAS TRANSMISSION  ,013792,CP   ,M2,LA,RICHLAND                      ,000065000,
ENTERGY @ LYNCH ACCT   ,ENABLE GAS TRANSMISSION  ,013795,NORTH,MQ,AR,PULASKI                       ,000000001,
CRANE COMPOSITE AC     ,ENABLE GAS TRANSMISSION  ,013796,NORTH,MQ,AR,CRAIGHEAD                     ,000000270,
WEBCOAT INC ACCT       ,ENABLE GAS TRANSMISSION  ,013802,NEUT ,MQ,OK,PITTSBURG                     ,000000350,
CHRIST TEX ACCT        ,ENABLE GAS TRANSMISSION  ,013803,SOUTH,MQ,TX,BOWIE                         ,000003170,
CHARLES RIVER LAB ACCT ,ENABLE GAS TRANSMISSION  ,013804,NORTH,MQ,AR,JEFFERSON                     ,000000001,
HEND WELLNESS ACCT     ,ENABLE GAS TRANSMISSION  ,013816,NORTH,MQ,AR,FAULKNER                      ,000000210,
RICELAND SGO FUEL-JNSBR,ENABLE GAS TRANSMISSION  ,013818,NORTH,MQ,AR,CRAIGHEAD                     ,000000005,
RICELAND SGO FUEL-SOYBN,ENABLE GAS TRANSMISSION  ,013819,NORTH,MQ,AR,ARKANSAS                      ,000000005,
RICELAND SGO FUEL-PARBL,ENABLE GAS TRANSMISSION  ,013820,NORTH,MQ,AR,ARKANSAS                      ,000000005,
PRATT PLANT            ,PRATT PAPER (LA) LLC     ,013822,SOUTH,MQ,LA,CADDO                         ,000017000,
AXIS OPERATNG ACCT     ,ENABLE GAS TRANSMISSION  ,013823,NORTH,MQ,AR,CRAIGHEAD                     ,000002770,
PACE IND. LLC ACCT     ,ENABLE GAS TRANSMISSION  ,013825,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
NIDEC MOTOR CO ACC     ,ENABLE GAS TRANSMISSION  ,013830,SOUTH,MQ,AR,POLK                          ,000000570,
ORG CHEM GRP ACCT      ,ENABLE GAS TRANSMISSION  ,013880,NORTH,MQ,AR,GARLAND                       ,000001150,
SIPLAST ACCT           ,ENABLE GAS TRANSMISSION  ,013881,SOUTH,MQ,AR,CLARK                         ,000000700,
GENERAL CABLE ACCT     ,ENABLE GAS TRANSMISSION  ,013885,NORTH,MQ,AR,HOT SPRING                    ,000000390,
DBLTREE TB LR ACCT     ,ENABLE GAS TRANSMISSION  ,013886,NORTH,MQ,AR,SALINE                        ,000000260,
IP RUSSELL #2 ACCT     ,ENABLE GAS TRANSMISSION  ,013892,NORTH,MQ,AR,POPE                          ,000001140,
FRANKE CONSUMER #1_ACCT,ENABLE GAS TRANSMISSION  ,013893,SOUTH,MQ,LA,LINCOLN                       ,000000001,
CERC-FRANKE CON #2_ACCT,ENABLE GAS TRANSMISSION  ,013900,SOUTH,MQ,LA,LINCOLN                       ,000000190,
ALUCHEM ACCT           ,ENABLE GAS TRANSMISSION  ,013901,NORTH,MQ,AR,PULASKI                       ,000004000,
ROGERS GRNBRIER AC     ,ENABLE GAS TRANSMISSION  ,013902,NORTH,MQ,AR,FAULKNER                      ,000008990,
ROGERS GP CONWAY ACCT  ,ENABLE GAS TRANSMISSION  ,013903,NORTH,MQ,AR,FAULKNER                      ,000000001,
SCHULZE-BURCH ACCT     ,ENABLE GAS TRANSMISSION  ,013916,NORTH,MQ,AR,WHITE                         ,000001060,
SAGE V LITRCK ACCT     ,ENABLE GAS TRANSMISSION  ,013917,NORTH,MQ,AR,SALINE                        ,000002490,
MRT-GS PERRYVILLE      ,ENABLE GAS TRANSMISSION  ,014015,SOUTH,M2,LA,OUACHITA                      ,000050000,
PRECISION PKGG ACC     ,ENABLE GAS TRANSMISSION  ,014210,NORTH,MQ,AR,SALINE                        ,000000640,
CERC-A&A COATING ACCT  ,ENABLE GAS TRANSMISSION  ,014211,SOUTH,MQ,TX,CASS                          ,000000600,
SAGE V STUTTG ACCT     ,ENABLE GAS TRANSMISSION  ,014270,NORTH,MQ,AR,ARKANSAS                      ,000000580,
DUNC REG HOSP ACCT     ,ENABLE GAS TRANSMISSION  ,014271,WEST2,MQ,OK,STEPHENS                      ,000000380,
HELEN REG MED ACCT     ,ENABLE GAS TRANSMISSION  ,014272,NORTH,MQ,AR,PHILLIPS                      ,000000180,
UNITED INITIA ACCT     ,ENABLE GAS TRANSMISSION  ,014273,NORTH,MQ,AR,PHILLIPS                      ,000000140,
UNI OF AR PB MA CC     ,ENABLE GAS TRANSMISSION  ,014274,NORTH,MQ,AR,JEFFERSON                     ,000000224,
UNI OF AR@PB AD AC     ,ENABLE GAS TRANSMISSION  ,014275,NORTH,MQ,AR,JEFFERSON                     ,000000085,
UNI OF AR@PB HY AC     ,ENABLE GAS TRANSMISSION  ,014276,NORTH,MQ,AR,JEFFERSON                     ,000000120,
AR DEPT FIN AD ACC     ,ENABLE GAS TRANSMISSION  ,014277,NORTH,MQ,AR,PULASKI                       ,000000140,
GLENWOOD LINEN SVC ACCT,ENABLE GAS TRANSMISSION  ,014278,NORTH,MQ,AR,PIKE                          ,000000001,
DE WAFELBAK LLCACC     ,ENABLE GAS TRANSMISSION  ,014281,NORTH,MQ,AR,PULASKI                       ,000000620,
ODOMS TN PRIDE SAUS ACC,ENABLE GAS TRANSMISSION  ,014282,NORTH,MQ,AR,SALINE                        ,000000001,
ARK DOC MALVE ACCT     ,ENABLE GAS TRANSMISSION  ,014299,NORTH,MQ,AR,HOT SPRING                    ,000001290,
COORS TEK INC ACCT     ,ENABLE GAS TRANSMISSION  ,014301,NORTH,MQ,AR,SALINE                        ,000000960,
CINTAS ACCT @ SEARCY   ,ENABLE GAS TRANSMISSION  ,014302,NORTH,MQ,AR,WHITE                         ,000000250,
ALBERTO CULVER ACC     ,ENABLE GAS TRANSMISSION  ,014303,NORTH,MQ,AR,CRAIGHEAD                     ,000000490,
ARK HLTH CENTR ACC     ,ENABLE GAS TRANSMISSION  ,014350,NORTH,MQ,AR,SALINE                        ,000000340,
AMBIENT MIN INC AC     ,ENABLE GAS TRANSMISSION  ,014351,NORTH,MQ,AR,SALINE                        ,000000250,
JAY-PAC INC ACCT       ,ENABLE GAS TRANSMISSION  ,014352,NORTH,MQ,AR,COUNTY NOT FOUND              ,000000300,
CONTAIN LIFE ACCT      ,ENABLE GAS TRANSMISSION  ,014353,SOUTH,MQ,AR,CLARK                         ,000000780,
T & G CONST ACC CHCKSHA,ENABLE GAS TRANSMISSION  ,014355,WEST2,MQ,OK,GRADY                         ,000000600,
IP CONWAY ACCT         ,ENABLE GAS TRANSMISSION  ,014356,NORTH,MQ,AR,FAULKNER                      ,000000490,
SNAP-ON INC ACCT       ,ENABLE GAS TRANSMISSION  ,014357,NORTH,MQ,AR,FAULKNER                      ,000000290,
CONAGRA RUSV2 ACCT     ,ENABLE GAS TRANSMISSION  ,014358,NORTH,MQ,AR,POPE                          ,000002940,
G & K SERVICES CO ACCT ,ENABLE GAS TRANSMISSION  ,014412,NORTH,MQ,AR,CRAIGHEAD                     ,000000200,
BAPT HLT MED AR AC     ,ENABLE GAS TRANSMISSION  ,014441,SOUTH,MQ,AR,CLARK                         ,000000130,
BAP HLT MED-STUT A     ,ENABLE GAS TRANSMISSION  ,014442,NORTH,MQ,AR,ARKANSAS                      ,000000300,
NU-WAY CLEANERS ACCT   ,ENABLE GAS TRANSMISSION  ,014443,NORTH,MQ,AR,INDEPENDENCE                  ,000000060,
ASPHALT PRO LLC AC     ,ENABLE GAS TRANSMISSION  ,014444,NORTH,MQ,AR,PULASKI                       ,000002130,
BITEC INC ACCT         ,ENABLE GAS TRANSMISSION  ,014445,NORTH,MQ,AR,CONWAY                        ,000000220,
SKIPPY FDS INC ACC     ,ENABLE GAS TRANSMISSION  ,014446,NORTH,MQ,AR,SALINE                        ,000000760,
CAMFIL FAR DBA ACC     ,ENABLE GAS TRANSMISSION  ,014447,NORTH,MQ,AR,CRAIGHEAD                     ,000000270,
MORRILTON PCK ACCT     ,ENABLE GAS TRANSMISSION  ,014448,NORTH,MQ,AR,CONWAY                        ,000000210,
AGRITECSORBENTS LLC ACC,ENABLE GAS TRANSMISSION  ,014450,NORTH,MQ,AR,ARKANSAS                      ,000000082,
CERC-GORDON SALES IN AC,ENABLE GAS TRANSMISSION  ,014455,SOUTH,MQ,LA,BOSSIER                       ,000000150,
CERC-CHRIST HIGHLD ACCT,ENABLE GAS TRANSMISSION  ,014456,SOUTH,MQ,LA,CADDO                         ,000000800,
CHRISTUS BOSSIER ACCT  ,ENABLE GAS TRANSMISSION  ,014458,SOUTH,MQ,LA,BOSSIER                       ,000000090,
DELTA ASPHALT ARK ACCT ,ENABLE GAS TRANSMISSION  ,014459,NORTH,MQ,AR,CRAIGHEAD                     ,000002170,
ROACH MANUFACT ACC     ,ENABLE GAS TRANSMISSION  ,014461,NORTH,MQ,AR,POINSETT                      ,000000270,
CERC-BOSSI HLTH CTR ACC,ENABLE GAS TRANSMISSION  ,014462,SOUTH,MQ,LA,BOSSIER                       ,000000620,
CERC-WK LAUNDRY ACCT   ,ENABLE GAS TRANSMISSION  ,014464,SOUTH,MQ,LA,CADDO                         ,000000120,
CERC-WK PIERREMONT ACCT,ENABLE GAS TRANSMISSION  ,014465,SOUTH,MQ,LA,CADDO                         ,000000780,
CERC-WK MEDICAL CTR ACC,ENABLE GAS TRANSMISSION  ,014466,SOUTH,MQ,LA,CADDO                         ,000001100,
CERC-WK SOUTH ACCT     ,ENABLE GAS TRANSMISSION  ,014467,SOUTH,MQ,LA,CADDO                         ,000000680,
CCA NORTH FOLK ACC     ,ENABLE GAS TRANSMISSION  ,014468,WEST1,MQ,OK,BECKHAM                       ,000000560,
CORECIVIC DB ACCT      ,ENABLE GAS TRANSMISSION  ,014469,WEST1,MQ,OK,BLAINE                        ,000000300,
DELTA-CLHG RUST ACCT   ,ENABLE GAS TRANSMISSION  ,014470,SOUTH,MQ,LA,LINCOLN                       ,000000300,
JACK CNY MEM HO AC     ,ENABLE GAS TRANSMISSION  ,014471,WEST1,MQ,OK,JACKSON                       ,000000160,
TURNR HLDS LLC ACC     ,ENABLE GAS TRANSMISSION  ,014472,NORTH,MQ,AR,SALINE                        ,000000260,
DESOTO SAND LLC ACCT   ,ENABLE GAS TRANSMISSION  ,014473,NORTH,MQ,AR,PULASKI                       ,000000880,
CERC-DR RED LAB LA ACCT,ENABLE GAS TRANSMISSION  ,014474,SOUTH,MQ,LA,CADDO                         ,000000370,
CERC-CELLXION LLC ACCT ,ENABLE GAS TRANSMISSION  ,014492,SOUTH,MQ,LA,BOSSIER                       ,000000760,
LAWTON CORREC ACCT     ,ENABLE GAS TRANSMISSION  ,014493,WEST2,MQ,OK,COMANCHE                      ,000000530,
CERC-HOUSE OF RAEFA ACC,ENABLE GAS TRANSMISSION  ,014494,SOUTH,MQ,LA,BIENVILLE                     ,000000910,
CERC-RAE FRM FEEDMILL A,ENABLE GAS TRANSMISSION  ,014495,SOUTH,MQ,LA,LINCOLN                       ,000000410,
CERC-CENTURYTEL CTR ACC,ENABLE GAS TRANSMISSION  ,014498,SOUTH,MQ,LA,BOSSIER                       ,000000200,
CERC-DIJACKS CASINO ACC,ENABLE GAS TRANSMISSION  ,014499,SOUTH,MQ,LA,BOSSIER                       ,000000140,
R W NORTON ART GALL ACC,ENABLE GAS TRANSMISSION  ,014501,SOUTH,MQ,LA,CADDO                         ,000000080,
THE STRG CO INC AC     ,ENABLE GAS TRANSMISSION  ,014502,NORTH,MQ,AR,JEFFERSON                     ,000000350,
AXIOM IMPRESS ACCT     ,ENABLE GAS TRANSMISSION  ,014503,NORTH,MQ,AR,PULASKI                       ,000000150,
ESTMAN KODAK CO AC     ,ENABLE GAS TRANSMISSION  ,014517,WEST1,MQ,OK,CUSTER                        ,000000450,
CERC-LSU HTH SCI #1 ACC,ENABLE GAS TRANSMISSION  ,014520,SOUTH,MQ,LA,CADDO                         ,000003550,
CERC-STOWE WOOD LLC ACC,ENABLE GAS TRANSMISSION  ,014522,SOUTH,MQ,LA,LINCOLN                       ,000000070,
CERC-LSU HTH SCI #2 ACC,ENABLE GAS TRANSMISSION  ,014523,SOUTH,MQ,LA,CADDO                         ,000000400,
CERC-TITUS RED MD CT AC,ENABLE GAS TRANSMISSION  ,014525,SOUTH,MQ,TX,TITUS                         ,000000720,
CERC-PURINA ACCT       ,ENABLE GAS TRANSMISSION  ,014548,SOUTH,MQ,LA,CADDO                         ,000000240,
CERC-HORSESHOE CAS ACCT,ENABLE GAS TRANSMISSION  ,014564,SOUTH,MQ,LA,BOSSIER                       ,000000720,
CERC-HARR LA DOWNS ACCT,ENABLE GAS TRANSMISSION  ,014565,SOUTH,MQ,LA,BOSSIER                       ,000000070,
CERC-IP SHREVEPORT ACCT,ENABLE GAS TRANSMISSION  ,014566,SOUTH,MQ,LA,CADDO                         ,000000350,
CERC-CADDO PAR CRTHO AC,ENABLE GAS TRANSMISSION  ,014567,SOUTH,MQ,LA,CADDO                         ,000000160,
CERC-CADDO PAR COR ACCT,ENABLE GAS TRANSMISSION  ,014568,SOUTH,MQ,LA,CADDO                         ,000000200,
CERC-KC SOUTHERN ACCT  ,ENABLE GAS TRANSMISSION  ,014569,SOUTH,MQ,LA,CADDO                         ,000000780,
CERC-SUP TIE AND TIM AC,ENABLE GAS TRANSMISSION  ,014570,SOUTH,MQ,LA,CADDO                         ,000000730,
COLUMBIA FOREST PRO ACC,ENABLE GAS TRANSMISSION  ,014571,NORTH,MQ,AR,POINSETT                      ,000000340,
CERC-PNK BOSS CTY IN AC,ENABLE GAS TRANSMISSION  ,014572,SOUTH,MQ,LA,CADDO                         ,000000100,
CERC-CROWN HEALTH ACCT ,ENABLE GAS TRANSMISSION  ,014573,SOUTH,MQ,LA,CADDO                         ,000000290,
AEROJET ROCDY ACCT     ,ENABLE GAS TRANSMISSION  ,014574,SOUTH,MQ,AR,OUACHITA                      ,000002340,
DIXON CATTLE COMPANY AC,ENABLE GAS TRANSMISSION  ,014575,NORTH,MQ,AR,POPE                          ,000000190,
WS TUBULAR LLC ACC     ,ENABLE GAS TRANSMISSION  ,014576,NORTH,MQ,AR,PULASKI                       ,000000450,
ABX INNOVATIVE PAC ACCT,ENABLE GAS TRANSMISSION  ,014577,SOUTH,MQ,LA,CLAIBORNE                     ,000000190,
ARLIN HOTEL CO ACC     ,ENABLE GAS TRANSMISSION  ,014578,NORTH,MQ,AR,GARLAND                       ,000000540,
OUACH BAPT UNI ACC     ,ENABLE GAS TRANSMISSION  ,014579,SOUTH,MQ,AR,CLARK                         ,000001170,
CHRIST ST MICH ACC     ,ENABLE GAS TRANSMISSION  ,014580,SOUTH,MQ,TX,BOWIE                         ,000001030,
CERC-KISA POLE AND ACCT,ENABLE GAS TRANSMISSION  ,014581,SOUTH,MQ,LA,WEBSTER                       ,000000510,
HAWKER BEECHCRAFT C ACC,ENABLE GAS TRANSMISSION  ,014582,NORTH,MQ,AR,PULASKI                       ,000000970,
SNYDER INDUST ACCT     ,ENABLE GAS TRANSMISSION  ,014583,NORTH,MQ,AR,POINSETT                      ,000000990,
CERC-AMETHYST CONS ACCT,ENABLE GAS TRANSMISSION  ,014584,SOUTH,MQ,LA,LINCOLN                       ,000000570,
NORAC INC ACCT         ,ENABLE GAS TRANSMISSION  ,014585,NORTH,MQ,AR,PHILLIPS                      ,000000400,
CERC-OMNI SPEC PACK ACC,ENABLE GAS TRANSMISSION  ,014586,SOUTH,MQ,LA,CADDO                         ,000000360,
MOLEX INC ACCT         ,ENABLE GAS TRANSMISSION  ,014587,NORTH,MQ,AR,PULASKI                       ,000000260,
UNIT STRUCTURES LLC ACC,ENABLE GAS TRANSMISSION  ,014588,SOUTH,MQ,AR,COLUMBIA                      ,000000001,
JOHN Q HAMM LR ACC     ,ENABLE GAS TRANSMISSION  ,014589,NORTH,MQ,AR,PULASKI                       ,000000360,
JOHN Q HAMM HS ACC     ,ENABLE GAS TRANSMISSION  ,014590,NORTH,MQ,AR,GARLAND                       ,000000120,
FL BAKERY OF T ACC     ,ENABLE GAS TRANSMISSION  ,014616,SOUTH,MQ,AR,MILLER                        ,000000320,
FLWR BAKNG CO ACCT     ,ENABLE GAS TRANSMISSION  ,014617,NORTH,MQ,AR,INDEPENDENCE                  ,000000320,
CERC-OVERTON BRKS VA AC,ENABLE GAS TRANSMISSION  ,014618,SOUTH,MQ,LA,CADDO                         ,000000510,
CERC-CENTENARY COL ACCT,ENABLE GAS TRANSMISSION  ,014619,SOUTH,MQ,LA,CADDO                         ,000000180,
SAMSAND ACCT           ,ENABLE GAS TRANSMISSION  ,014621,SOUTH,MQ,AR,MILLER                        ,000003200,
DANFOSS SCR TEC AC     ,ENABLE GAS TRANSMISSION  ,014623,SOUTH,MQ,AR,CLARK                         ,000000350,
CERC-SAMS TWN HOT&C ACC,ENABLE GAS TRANSMISSION  ,014624,SOUTH,MQ,LA,CADDO                         ,000000740,
ANTH OAK FLOOR ACC     ,ENABLE GAS TRANSMISSION  ,014645,SOUTH,MQ,AR,COLUMBIA                      ,000001120,
CERC-REDRVR TERMIN ACCT,ENABLE GAS TRANSMISSION  ,014646,SOUTH,MQ,LA,CADDO                         ,000000780,
ARK SURGICAL H ACC     ,ENABLE GAS TRANSMISSION  ,014647,NORTH,MQ,AR,SALINE                        ,000000610,
MOMENTIVE SPECIALTY ACC,ENABLE GAS TRANSMISSION  ,014648,SOUTH,MQ,AR,HEMPSTEAD                     ,000000140,
ELE MILL WD PR ACC     ,ENABLE GAS TRANSMISSION  ,014649,SOUTH,MQ,AR,PIKE                          ,000000290,
CERC-WK BOSS MD PAVL AC,ENABLE GAS TRANSMISSION  ,014650,SOUTH,MQ,LA,BOSSIER                       ,000000220,
CURTNER LUMBER CO ACCT ,ENABLE GAS TRANSMISSION  ,014658,NORTH,MQ,AR,JACKSON                       ,000000140,
CEFS-LETONA CDP        ,ENABLE MIDSTREAM PARTNERS,014680,NORTH,M2,AR,WHITE                         ,000378000,
CLN HARB EL D ACCT     ,ENABLE GAS TRANSMISSION  ,014690,SOUTH,MQ,AR,UNION                         ,000010520,
