LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
WILLOW SPRINGS IC      ,ENABLE MIDSTREAM PARTNERS,012134,SOUTH,M2,TX,GREGG                         ,000126000,
TGT PV CORE REC        ,ENABLE GAS TRANSMISSION  ,012143,SOUTH,M2,LA,OUACHITA                      ,000000001,
CERC-GENSTAR SPRT PL AC,ENABLE GAS TRANSMISSION  ,012144,SOUTH,MQ,LA,CADDO                         ,000001000,
JOB CONSTRUCT (HARTSHOR,ENABLE GAS TRANSMISSION  ,012145,NEUT ,MQ,OK,PITTSBURG                     ,000000001,
AALFS (TEXARKANA)      ,ENABLE GAS TRANSMISSION  ,012151,SOUTH,MQ,AR,MILLER                        ,000000001,
AALFS(MENA)-ACCT       ,ENABLE GAS TRANSMISSION  ,012152,SOUTH,MQ,AR,POLK                          ,000000001,
CERRO FLOW PROD-ACCT   ,ENABLE GAS TRANSMISSION  ,012153,SOUTH,MQ,LA,BOSSIER                       ,000000001,
WINCUP (SCOTT)_ACCT    ,ENABLE GAS TRANSMISSION  ,012154,SOUTH,MQ,LA,CADDO                         ,000000001,
CERC-SHAW ALL @SP ACCT ,ENABLE GAS TRANSMISSION  ,012155,SOUTH,MQ,LA,CADDO                         ,000001100,
FS @ PRESCOTT ACCT     ,ENABLE GAS TRANSMISSION  ,012156,SOUTH,MQ,AR,NEVADA                        ,000001730,
SOUTH SPIRO CTP        ,ENABLE MIDSTREAM PARTNERS,012165,NORTH,M2,OK,LE FLORE                      ,000007500,
HAYNES INTL_ACCT       ,ENABLE GAS TRANSMISSION  ,012172,SOUTH,MQ,LA,BIENVILLE                     ,000000460,
ARCHER DANIELS ACCT    ,ENABLE GAS TRANSMISSION  ,012173,NORTH,MQ,AR,PULASKI                       ,000000001,
ARKANSAS GLASS ACC     ,ENABLE GAS TRANSMISSION  ,012174,NORTH,MQ,AR,CRAIGHEAD                     ,000003120,
