TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
961777229,,Bison Pipeline LLC,C000627,ADM     ,Admin Point,20101115,,A,VIR,B,,MORTON,ND,N,N,,,,,,,BISONSeg,BISONSub,,T,,N,,20210818 22:09
961777229,,Bison Pipeline LLC,C000627,BUFF    ,BUFFALO,20101115,,A,OTH,D,,MORTON,WY,Y,N,"Fort Union Gas Gathering, L.L.C.",082501219,,,,,BISONSeg,BISONSub,,T,,Y,BUFF,20260211 14:19
961777229,,Bison Pipeline LLC,C000627,BUFFTP  ,BUFFALO TP,20101115,,A,VIR,B,,MORTON,WY,N,N,,,,,,,BISONSeg,BISONSub,,T,,N,BUFF,20210916 09:49
961777229,,Bison Pipeline LLC,C000627,INV     ,Inventory Admin Point,20101115,,A,VIR,B,,MORTON,ND,N,N,,,,,,,BISONSeg,BISONSub,,T,,N,,20210818 22:09
961777229,,Bison Pipeline LLC,C000627,KURTZ   ,KURTZ,20101115,,A,INT,D,,MORTON,ND,Y,Y,Northern Border Pipeline Company,021632583,,C000626,KURTZ,Kurtz,BISONSeg,BISONSub,,T,,Y,KURTZ,20250402 09:54
961777229,,Bison Pipeline LLC,C000627,KURTZTP ,Kurtz TP,20101115,,A,VIR,B,,MORTON,ND,N,N,,,,,,,BISONSeg,BISONSub,,T,,N,KURTZ,20210916 09:49
961777229,,Bison Pipeline LLC,C000627,OBA     ,OPERATIONAL BALANCING,20101115,,A,VIR,B,,MORTON,ND,N,N,,,,,,,BISONSeg,BISONSub,,T,,N,,20210818 22:09
