TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,253210,EEC/EEC BOUNDARY- EEC (END) ANDERSO,D,ANDERSON,SC,OTH,ZN 3,ZN 3,200,N,A,20130101,,N,,,,,,,,,,20160401 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,353920,BBTBAMA/SNG UDP WHITE OAK # 1 & #2,R,TUSCALOOSA,AL,GTH,ZN 2,ZN 2,120,Y,A,20200403,,Y,BBT ALABAMA  LLC,118941696,10709,N,,012240,SNG WHITE OAK,,,20230314 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,353923,SOUTHXPL/SNG UDP WHITE OAK #3 TUSCA,R,TUSCALOOSA,AL,GTH,ZN 2,ZN 2,120,N,I,,20190801,Y,SOUTHCROSS ALABAMA PIPELINE LLC,78274467,7141,Y,C000926,88103-11,WHITE OAK #3 RECEIPT DUMMY METER (SONAT),,,20190801 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,353940,BBTBAMA/SNG UDP WEST BLUE CREEK TUS,R,TUSCALOOSA,AL,GTH,ZN 2,ZN 2,110,Y,A,20130101,,Y,BBT ALABAMA  LLC,118941696,10709,N,,011569,WEST BLUE CREEK,,,20230314 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,353950,BBTBAMA/SNG UDP WHITE OAK #4 TUSCAL,R,TUSCALOOSA,AL,GTH,ZN 2,ZN 2,120,Y,A,20160407,,Y,BBT ALABAMA  LLC,118941696,10709,N,,012241,SNG WHITE OAK 4,,,20230314 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,405367,TGP/SNG BEAR CREEK INJECTION BIENVI,B,BIENVILLE,LA,INT,ZN 0,ZN 0,20,Y,A,20100101,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,405367,SNG/TGP BIENVILLE INTERCONNECT BIEN,,,20240510 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,420294,TGP/SNG PUGH MISSISSIPPI EXCH LOWND,B,LOWNDES,MS,INT,ZN 1,ZN 1,70,Y,A,20100101,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,420294,TGP/SNG PUGH MISSISSIPPI EXCH LOWND,,,20160401 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,420546,TGP/SNG ROSE HILL MISS CLARKE,B,CLARKE,MS,INT,ZN 1,ZN 1,420,Y,A,20100101,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,420546,TGP/SNG ROSE HILL MISS CLARKE,,,20160401 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,420556,TGP/SNG TOCA EXCHANGE ST BERNARD,B,ST BERNARD,LA,INT,ZN 0,ZN 0,320,Y,A,20100101,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,420556,TGP/SNG TOCA EXCHANGE ST BERNARD,,,20160401 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,502710,TRUNKLNE/SNG SHADYSIDE ST MARY,R,ST MARY,LA,INT,ZN 0,ZN 0,340,Y,A,20200403,,Y,TRUNKLINE GAS COMPANY  LLC,7933062,4186,Y,C000251,81738,SOUTHERN NATURAL @ SHADYSIDE,,,20200407 12:00
